NID,Titre,URL,Organization,Produit,Problème,"Ce que vous devriez faire",Catégorie,"Classe de rappel","Dernière mise à jour",Archivé
49164,"  Présence non déclarée d'arachides dans le produit « Doctor's Carbrite Diet Chocolate Brownie Bars » ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declaree-arachides-dans-produit-doctor-s-carbrite-diet-chocolate-brownie,ACIA,,Arachides,,Aliments,"Classe 1",2011-05-05,1
49189,"  Présence non déclarée de sulfites dans « Super Tasty Rasmalai » de marque Quality ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declaree-sulfites-dans-super-tasty-rasmalai-marque-quality,ACIA,,Sulfites,,Aliments,"Classe 1",2011-05-05,1
71338,"Numéro de rappel de Transports Canada - 2011184 - ELGIN SWEEPER",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011184-elgin-sweeper,TC,"Camion - usage moyen et usage intensif rappelé par ELGIN SWEEPER",Moteur,,"Camion - usage moyen et usage intensif",,2011-05-05,0
71364,"Numéro de rappel de Transports Canada - 2011155 - HYUNDAI TRANSLEAD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011155-hyundai-translead,TC,"Remorque lourde rappelé par HYUNDAI TRANSLEAD",Freins,,"Remorque lourde",,2011-05-05,0
71420,"Numéro de rappel de Transports Canada - 2011098 - HONDA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011098-honda,TC,"Voiture rappelé par HONDA","Circuit électrique",,Voiture,,2011-05-05,0
21808,"  Chemise de nuit en coton « Hello Kitty » ",https://recalls-rappels.canada.ca/fr/avis-rappel/chemise-nuit-en-coton-hello-kitty,"Sécurité des produits de consommation",,,,"Vêtements et accessoires",,2011-05-04,1
22696,"  Risque lié à l'achat de pesticides en ligne ",https://recalls-rappels.canada.ca/fr/avis-rappel/risque-lie-achat-pesticides-en-ligne,"Sécurité des produits de consommation",,,,"Substances chimiques",,2011-05-04,1
22876,"  Retrait « d'Omega Alpha Kidney Flush » du marché canadien ",https://recalls-rappels.canada.ca/fr/avis-rappel/retrait-omega-alpha-kidney-flush-du-marche-canadien,"Direction générale des communications et des affaires publiques",,Étiquetage,,Médicaments,,2011-05-04,1
49165,"  Présence non déclaré de blé dans les morceaux de lentilles épicés Punjabi Wadi « gros morceau de epices » de marque Quality ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declare-ble-dans-morceaux-lentilles-epices-punjabi-wadi-gros-morceau,ACIA,,Blé,,Aliments,"Classe 1",2011-05-04,1
49187,"  Présence non déclaré de lait dans les mélanges à gâteau de marque #1 Gluten Free ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declare-lait-dans-melanges-gateau-marque-1-gluten-free,ACIA,,Lait,,Aliments,"Classe 1",2011-05-04,1
71435,"Numéro de rappel de Transports Canada - 2011083 - TOYOTA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011083-toyota,TC,"Véhicule utilitaire-sport rappelé par TOYOTA",Autres,,"Véhicule utilitaire-sport",,2011-05-04,0
21809,"  Correcteurs de lestage Sea Elite Systems ",https://recalls-rappels.canada.ca/fr/avis-rappel/correcteurs-lestage-sea-elite-systems,"Sécurité des produits de consommation",,,,"Articles de sport et matériel de culture physique",,2011-05-03,1
21948,"  Correcteurs de lestage Edge et HOG (Highly Optimized Gear) ",https://recalls-rappels.canada.ca/fr/avis-rappel/correcteurs-lestage-edge-et-hog-highly-optimized-gear,"Sécurité des produits de consommation",,,,"Articles de sport et matériel de culture physique",,2011-05-03,1
71442,"Numéro de rappel de Transports Canada - 2011076 - DAIMLER TRUCK NORTH AMERICA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011076-daimler-truck-north-america,TC,"Camion - usage moyen et usage intensif rappelé par DAIMLER TRUCK NORTH AMERICA","Circuit électrique",,"Camion - usage moyen et usage intensif",,2011-05-03,0
21652,"  Uremol HC Lotion 150 mL ",https://recalls-rappels.canada.ca/fr/avis-rappel/uremol-hc-lotion-150-ml,SC,,,,Médicaments,"Type III",2011-05-02,1
21657,"  Crème Uremol HC 50 g (tubes) Crème HC 225 g (bocals) ",https://recalls-rappels.canada.ca/fr/avis-rappel/creme-uremol-hc-50-g-tubes-creme-hc-225-g-bocals,SC,,,,Médicaments,"Type III",2011-05-02,1
21819,"  Réfrigérateurs de Fagor America Inc. ",https://recalls-rappels.canada.ca/fr/avis-rappel/refrigerateurs-fagor-america-inc,"Sécurité des produits de consommation",,,,"Articles de maison",,2011-05-02,1
21932,"  Lustres de la collection « Antler » ",https://recalls-rappels.canada.ca/fr/avis-rappel/lustres-collection-antler,"Sécurité des produits de consommation",,,,"Articles de maison - Autres",,2011-05-02,1
21946,"  Appareils de chauffage pour aquarium Stealth et Stealth Pro de Marineland ",https://recalls-rappels.canada.ca/fr/avis-rappel/appareils-chauffage-pour-aquarium-stealth-et-stealth-pro-marineland,"Sécurité des produits de consommation",,,,"Articles de passe-temps et d’artisanat - Articles de maison - Outils et accessoires",,2011-05-02,1
21947,"  Lampe baladeuse escamotable avec enrouleur ",https://recalls-rappels.canada.ca/fr/avis-rappel/lampe-baladeuse-escamotable-avec-enrouleur,"Sécurité des produits de consommation",,,,"Articles de maison - Outils et accessoires",,2011-05-02,1
49149,"  La Mastronardi Produce rappelle volontairement des tomates raisin à cause de la présence possible de la bactérie Salmonella anatum ",https://recalls-rappels.canada.ca/fr/avis-rappel/mastronardi-produce-rappelle-volontairement-tomates-raisin-cause-presence-possible,ACIA,,Salmonella,,Aliments,"Classe 2",2011-05-02,1
49190,"  Présence non déclarée d'arachides dans certaines barres alimentaires biologiques crues ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declaree-arachides-dans-certaines-barres-alimentaires-biologiques-crues,ACIA,,Arachides,,Aliments,"Classe 1",2011-05-02,1
71341,"Numéro de rappel de Transports Canada - 2011181 - WABASH",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011181-wabash,TC,"Remorque lourde rappelé par WABASH",Freins,,"Remorque lourde",,2011-05-02,0
71362,"Numéro de rappel de Transports Canada - 2011159 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011159-ford,TC,"Camionnette et fourgonnette rappelé par FORD","Sièges et dispositifs de retenue",,"Camionnette et fourgonnette",,2011-05-02,0
71428,"Numéro de rappel de Transports Canada - 2011090 - MAZDA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011090-mazda,TC,"Voiture rappelé par MAZDA","Alimentation en carburant",,Voiture,,2011-05-02,0
71629,"Numéro de rappel de Transports Canada - 2010353 - DAIMLER TRUCK NORTH AMERICA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010353-daimler-truck-north-america,TC,"Autobus scolaire rappelé par DAIMLER TRUCK NORTH AMERICA","Sièges et dispositifs de retenue",,"Autobus scolaire",,2011-05-02,0
71682,"Numéro de rappel de Transports Canada - 2010298 - DAIMLER TRUCK NORTH AMERICA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010298-daimler-truck-north-america,TC,"Autobus rappelé par DAIMLER TRUCK NORTH AMERICA","Circuit électrique",,"Autobus - Autobus scolaire",,2011-05-02,0
71683,"Numéro de rappel de Transports Canada - 2010297 - DAIMLER TRUCK NORTH AMERICA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010297-daimler-truck-north-america,TC,"Autobus rappelé par DAIMLER TRUCK NORTH AMERICA","Circuit électrique",,"Autobus - Autobus scolaire",,2011-05-02,0
71835,"Numéro de rappel de Transports Canada - 2010143 - DAIMLER TRUCK NORTH AMERICA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010143-daimler-truck-north-america,TC,"Autobus rappelé par DAIMLER TRUCK NORTH AMERICA","Chaufferette et dégivreur",,"Autobus - Autobus scolaire",,2011-05-02,0
50605,"  Six L's retire volontairement du marché des tomates raisin en raison de la possibilité de danger pour la santé ",https://recalls-rappels.canada.ca/fr/avis-rappel/six-s-retire-volontairement-du-marche-tomates-raisin-en-raison-possibilite-danger-pour,ACIA,,,,Aliments,"Classe 2",2011-05-01,1
50090,"  Rappel d'aliment en raison d'un risque pour la santé découlant de la présence non déclarée de lait dans le produit « Simply Asia arachides rôties bol de nouilles », 240 g ",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-aliment-en-raison-risque-pour-sante-decoulant-presence-non-declaree-lait-dans,ACIA,,Lait,,Aliments,"Classe 1",2011-04-30,1
23026,"  Liste des produits de santé rappelés fabriqués par Triad Group ",https://recalls-rappels.canada.ca/fr/avis-rappel/liste-produits-sante-rappeles-fabriques-triad-group,"Direction générale des communications et des affaires publiques",,Contamination,,"Matériel médical, instruments médicaux et dispositifs médicaux",,2011-04-29,1
71346,"Numéro de rappel de Transports Canada - 2011176 - HYUNDAI",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011176-hyundai,TC,"Véhicule utilitaire-sport rappelé par HYUNDAI","Feux et instruments",,"Véhicule utilitaire-sport",,2011-04-29,0
71347,"Numéro de rappel de Transports Canada - 2011175 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011175-ford,TC,"Camion - usage moyen et usage intensif rappelé par FORD",Freins,,"Camion - usage moyen et usage intensif",,2011-04-29,0
71348,"Numéro de rappel de Transports Canada - 2011174 - KIA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011174-kia,TC,"Véhicule utilitaire-sport rappelé par KIA","Groupe motopropulseur",,"Véhicule utilitaire-sport",,2011-04-29,0
21944,"  Trieur de formes de Topco Kidz Zone ",https://recalls-rappels.canada.ca/fr/avis-rappel/trieur-formes-topco-kidz-zone,"Sécurité des produits de consommation",,,,"Jouets et jeux",,2011-04-28,1
24489,"  ANZEMET (mésylate de dolasétron) – Retrait de la solution injectable par voie intraveineuse dosée à 20 mg/mL en raison du risque d'arythmies – Pour le public ",https://recalls-rappels.canada.ca/fr/avis-rappel/anzemet-mesylate-dolasetron-retrait-solution-injectable-voie-intraveineuse-dosee-20,"Produits de santé commercialisés",,,,Médicaments,,2011-04-28,1
25452,"  ANZEMET (mésylate de dolasétron) - Retrait de la solution injectable par voie intraveineuse dosée à 20 mg/mL en raison du risque d'arythmies - Pour les professionnels de la santé ",https://recalls-rappels.canada.ca/fr/avis-rappel/anzemet-mesylate-dolasetron-retrait-solution-injectable-voie-intraveineuse-dosee-20-0,"Produits de santé commercialisés",,,,Médicaments,,2011-04-28,1
21945,"  Aérothermes de la série FOA, d'ADP ",https://recalls-rappels.canada.ca/fr/avis-rappel/aerothermes-serie-foa-adp,"Sécurité des produits de consommation",,,,"Produits électroniques - Articles de maison - Outils et accessoires",,2011-04-27,1
22000,"  Appareils de chauffage de garage ",https://recalls-rappels.canada.ca/fr/avis-rappel/appareils-chauffage-garage,"Sécurité des produits de consommation",,,,"Articles de maison - Outils et accessoires",,2011-04-27,1
50089,"  Présence non déclarée de sulfites dans produits de marque Rasm The Great Indian Tradition ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declaree-sulfites-dans-produits-marque-rasm-great-indian-tradition,ACIA,,Sulfites,,Aliments,"Classe 2",2011-04-27,1
71413,"Numéro de rappel de Transports Canada - 2011105 - PACCAR",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011105-paccar,TC,"Camion - usage moyen et usage intensif rappelé par PACCAR",Freins,,"Camion - usage moyen et usage intensif",,2011-04-27,0
21790,"  Souffleuse à neige Power ClearMC et tondeuse autotractée Recycler de ToroMD ",https://recalls-rappels.canada.ca/fr/avis-rappel/souffleuse-neige-power-clearmc-et-tondeuse-autotractee-recycler-toromd,"Sécurité des produits de consommation",,,,"Articles de maison - Outils et accessoires",,2011-04-26,1
50038,"  Présence non déclaré de crevettes dans la « creme au oeuf » importée du Japon ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declare-crevettes-dans-creme-au-oeuf-importee-du-japon,ACIA,,,,Aliments,"Classe 1",2011-04-26,1
71357,"Numéro de rappel de Transports Canada - 2011164 - DUCATI",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011164-ducati,TC,"Motocyclette rappelé par DUCATI",Direction,,Motocyclette,,2011-04-26,0
71404,"Numéro de rappel de Transports Canada - 2011114 - NAVISTAR",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011114-navistar,TC,"Camion - usage moyen et usage intensif rappelé par NAVISTAR",Freins,,"Camion - usage moyen et usage intensif",,2011-04-26,0
71431,"Numéro de rappel de Transports Canada - 2011087 - PACCAR",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011087-paccar,TC,"Camion - usage moyen et usage intensif rappelé par PACCAR",Moteur,,"Camion - usage moyen et usage intensif",,2011-04-26,0
50094,"  Présence non déclarée de lait dans divers Filets de poitrine de poulet panés assaisonnés ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declaree-lait-dans-divers-filets-poitrine-poulet-panes-assaisonnes,ACIA,,Lait,,Aliments,"Classe 3",2011-04-22,1
21792,"  Tricycles de course DisneyMD Princess ",https://recalls-rappels.canada.ca/fr/avis-rappel/tricycles-course-disneymd-princess,"Sécurité des produits de consommation",,,,"Jouets et jeux",,2011-04-21,1
21833,"  Tapis « Carpet Art Deco » de la collection « Shag Rug Nebraska » ",https://recalls-rappels.canada.ca/fr/avis-rappel/tapis-carpet-art-deco-collection-shag-rug-nebraska,"Sécurité des produits de consommation",,,,"Articles de maison",,2011-04-21,1
21878,"  Trottinettes Kiddieland ",https://recalls-rappels.canada.ca/fr/avis-rappel/trottinettes-kiddieland,"Sécurité des produits de consommation",,,,"Jouets et jeux",,2011-04-21,1
22695,"  Le retrait du marché canadien de produits de santé fabriqués par Triad Group se poursuit ",https://recalls-rappels.canada.ca/fr/avis-rappel/retrait-du-marche-canadien-produits-sante-fabriques-triad-group-se-poursuit,"Direction générale des communications et des affaires publiques",,Contamination,,"Matériel médical, instruments médicaux et dispositifs médicaux",,2011-04-21,1
49289,"  Présence non déclarée de sulfites dans les bonbons indiens « Petha Cubes » de marque Haldiram's Nagpur ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declaree-sulfites-dans-bonbons-indiens-petha-cubes-marque-haldiram-s,ACIA,,Sulfites,,Aliments,"Classe 1",2011-04-21,1
49846,"  Certains Parure de Boeuf A 50% de marque Viandes Laroches peuvent contenir des E. coli ",https://recalls-rappels.canada.ca/fr/avis-rappel/certains-parure-boeuf-50-marque-viandes-laroches-peuvent-contenir-e-coli,ACIA,,,,Aliments,"Classe 1",2011-04-21,1
50054,"  Molson Coors retire les bouteilles de Molson Dry de 1.18 litres ",https://recalls-rappels.canada.ca/fr/avis-rappel/molson-coors-retire-bouteilles-molson-dry-118-litres,"Sécurité des produits de consommation",,,,Aliments,"Classe 3",2011-04-21,1
21820,"  Trousse de réparation pour plastique ou caoutchouc, de Coghlan ",https://recalls-rappels.canada.ca/fr/avis-rappel/trousse-reparation-pour-plastique-ou-caoutchouc-coghlan,"Sécurité des produits de consommation",,,,"Articles de maison - Produits spécialisés",,2011-04-20,1
21939,"  Mousse à coiffer « Spray Mousse Volume Guts 10 », de Redken 5th Avenue ",https://recalls-rappels.canada.ca/fr/avis-rappel/mousse-coiffer-spray-mousse-volume-guts-10-redken-5th-avenue,"Sécurité des produits de consommation",,,,"Cosmétiques et produits de soins personnels",,2011-04-20,1
71841,"Numéro de rappel de Transports Canada - 2010137 - BOMBARDIER RECREATIONAL PRODUCTS",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010137-bombardier-recreational-products,TC,"Remorque légère rappelé par BOMBARDIER RECREATIONAL PRODUCTS",Autres,,"Remorque légère",,2011-04-20,0
21766,"  Piles au lithium-ion utilisées avec les ensembles de phares pour vélos Magicshine ",https://recalls-rappels.canada.ca/fr/avis-rappel/piles-au-lithium-ion-utilisees-avec-ensembles-phares-pour-velos-magicshine,"Sécurité des produits de consommation",,,,"Articles de sport et matériel de culture physique - Outils et accessoires",,2011-04-19,1
21936,"  Petites bougies de marque Everyday EssentialsMC ",https://recalls-rappels.canada.ca/fr/avis-rappel/petites-bougies-marque-everyday-essentialsmc,"Sécurité des produits de consommation",,,,"Articles de passe-temps et d’artisanat - Articles de maison",,2011-04-19,1
22694,"  Santé Canada rappelle aux Canadiens les risques sanitaires associés aux produits à base de benzocaïne topique ",https://recalls-rappels.canada.ca/fr/avis-rappel/sante-canada-rappelle-canadiens-risques-sanitaires-associes-produits-base-benzocaine,"Direction générale des communications et des affaires publiques",,"Sécurité des produits",,Médicaments,,2011-04-19,1
23022,"  Santé Canada conseille la prudence aux Canadiens qui mangent des œufs ",https://recalls-rappels.canada.ca/fr/avis-rappel/sante-canada-conseille-prudence-canadiens-qui-mangent-oeufs,"Direction générale des communications et des affaires publiques",,"Sécurité des produits",,Aliments,,2011-04-19,1
49585,"  Présence non déclarée d'arachides dans le produit « Doctor's Carbrite Diet Chocolate Brownie Bars » ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declaree-arachides-dans-produit-doctor-s-carbrite-diet-chocolate-brownie-0,ACIA,,Arachides,,Aliments,"Classe 2",2011-04-19,1
71565,"Numéro de rappel de Transports Canada - 2010418 - GENERAL MOTORS",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010418-general-motors,TC,"Camionnette et fourgonnette rappelé par GENERAL MOTORS","Sièges et dispositifs de retenue",,"Camionnette et fourgonnette",,2011-04-19,0
71751,"Numéro de rappel de Transports Canada - 2010228 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010228-ford,TC,"Camionnette et fourgonnette rappelé par FORD",Autres,,"Camionnette et fourgonnette",,2011-04-19,0
71903,"Numéro de rappel de Transports Canada - 2010073 - KAWASAKI",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010073-kawasaki,TC,"Motocyclette rappelé par KAWASAKI",Autres,,Motocyclette,,2011-04-19,0
71945,"Numéro de rappel de Transports Canada - 2010031 - BMW",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010031-bmw,TC,"Voiture rappelé par BMW",Étiquette,,Voiture,,2011-04-19,0
71950,"Numéro de rappel de Transports Canada - 2010026 - MICRO BIRD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010026-micro-bird,TC,"Autobus rappelé par MICRO BIRD","Sièges et dispositifs de retenue",,Autobus,,2011-04-19,0
21654,"  Dyma - Viper ",https://recalls-rappels.canada.ca/fr/avis-rappel/dyma-viper,SC,,,,Médicaments,,2011-04-18,1
22691,"  Le produit « Mary Ginseng House 100% Pure High Calibre Pow Sum Ontario Ginseng » est contaminé et peut poser un risque pour les personnes immunodéprimées ",https://recalls-rappels.canada.ca/fr/avis-rappel/produit-mary-ginseng-house-100-pure-high-calibre-pow-sum-ontario-ginseng-est-contamine,"Direction générale des communications et des affaires publiques",,Contamination,,"Produits de santé naturels",,2011-04-18,1
71460,"Numéro de rappel de Transports Canada - 2011058 - NEWMAR",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011058-newmar,TC,"Autocaravane rappelé par NEWMAR","Alimentation en carburant",,Autocaravane,,2011-04-18,0
71490,"Numéro de rappel de Transports Canada - 2011028 - NEWMAR",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011028-newmar,TC,"Autocaravane rappelé par NEWMAR",Direction,,Autocaravane,,2011-04-18,0
49288,"  Présence non déclarée d'arachides dans certaines Barres alimentaires biologiques crues ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declaree-arachides-dans-certaines-barres-alimentaires-biologiques-crues-0,ACIA,,Arachides,,Aliments,"Classe 2",2011-04-16,1
50039,"  Présence non déclarée de sulfites et de noix dans certains Ensemble pour salade - Epinards avec miel et moutarde de dijon de marque Compliments Equilibre ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declaree-sulfites-et-noix-dans-certains-ensemble-pour-salade-epinards-avec,ACIA,,Sulfites,,Aliments,"Classe 3",2011-04-16,1
44261,"  Summersweet Fine Foods recalls seafood mousses and dips because they may contain Listeria monocytogenes ",https://recalls-rappels.canada.ca/en/alert-recall/summersweet-fine-foods-recalls-seafood-mousses-and-dips-because-they-may-contain,ACIA,,Listeria,,Aliments,"Classe 1",2011-04-15,1
50088,"  Présence non déclarée de gluten dans certains farine de sarrasin vert moulu sur pierre mouture fine de marque Les Moissonneries du Pays ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declaree-gluten-dans-certains-farine-sarrasin-vert-moulu-sur-pierre,ACIA,,Gluten,,Aliments,"Classe 3",2011-04-15,1
71456,"Numéro de rappel de Transports Canada - 2011062 - FLEETWOOD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011062-fleetwood,TC,"Autocaravane rappelé par FLEETWOOD",Accessoires,,Autocaravane,,2011-04-15,0
71961,"Numéro de rappel de Transports Canada - 2010014 - JAYCO",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010014-jayco,TC,"Caravane rappelé par JAYCO",Autres,,Caravane,,2011-04-15,0
71962,"Numéro de rappel de Transports Canada - 2010013 - STARCRAFT RV",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010013-starcraft-rv,TC,"Caravane rappelé par STARCRAFT RV",Autres,,Caravane,,2011-04-15,0
21831,"  Hochets de poignet et bottillons de bébés Monkeez ",https://recalls-rappels.canada.ca/fr/avis-rappel/hochets-poignet-et-bottillons-bebes-monkeez,"Sécurité des produits de consommation",,,,"Vêtements et accessoires - Jouets et jeux",,2011-04-14,1
25555,"  Vivaglobin [Immunoglobuline sous-cutanée (humaine)] - Risque d'événements thromboemboliques (caillots sanguins) - Pour les professionnels de la santé ",https://recalls-rappels.canada.ca/fr/avis-rappel/vivaglobin-immunoglobuline-sous-cutanee-humaine-risque-evenements-thromboemboliques-0,"Produits de santé commercialisés",,,,"Vaccins et produits biologiques",,2011-04-14,1
50035,"  Présence non déclarée de soja dans certains produits de Roast Beef de marque Armstrong Food Service ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declaree-soja-dans-certains-produits-roast-beef-marque-armstrong-food,ACIA,,Soja,,Aliments,"Classe 3",2011-04-14,1
50093,"  Présence non déclarée de sulfites dans « haricot caillè colle » de marque Sparkle ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-non-declaree-sulfites-dans-haricot-caille-colle-marque-sparkle,ACIA,,Sulfites,,Aliments,"Classe 3",2011-04-14,1
71465,"Numéro de rappel de Transports Canada - 2011053 - TIFFIN",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011053-tiffin,TC,"Autocaravane rappelé par TIFFIN",Accessoires,,Autocaravane,,2011-04-14,0
25471,"  Plateaux d'irrigation RUSCH - Contamination potentielle des tampons de préparation alcoolisés pré-emballés - Avis aux hôpitaux ",https://recalls-rappels.canada.ca/fr/avis-rappel/plateaux-irrigation-rusch-contamination-potentielle-tampons-preparation-alcoolises-pre,"Produits de santé commercialisés",,,,"Matériel médical, instruments médicaux et dispositifs médicaux",,2011-04-13,1
71365,"Numéro de rappel de Transports Canada - 2011154 - BLUE BIRD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011154-blue-bird,TC,"Autobus scolaire rappelé par BLUE BIRD","Circuit électrique",,"Autobus scolaire",,2011-04-13,0
21885,"  Scellant clair et nettoyeur Finex ",https://recalls-rappels.canada.ca/fr/avis-rappel/scellant-clair-et-nettoyeur-finex,"Sécurité des produits de consommation",,,,"Articles de maison - Produits spécialisés",,2011-04-12,1
22693,"  Plusieurs solutions de lissage des cheveux contiennent des concentrations excessives de formaldéhyde ",https://recalls-rappels.canada.ca/fr/avis-rappel/plusieurs-solutions-lissage-cheveux-contiennent-concentrations-excessives-formaldehyde,"Direction générale des communications et des affaires publiques",,"Sécurité des produits",,"Cosmétiques et produits de soins personnels",,2011-04-12,1
22923,"  Mesures d'hygiène alimentaire concernant les crosses de fougère ",https://recalls-rappels.canada.ca/fr/avis-rappel/mesures-hygiene-alimentaire-concernant-crosses-fougere,"Direction générale des communications et des affaires publiques",,"Sécurité des produits",,Aliments,,2011-04-12,1
71467,"Numéro de rappel de Transports Canada - 2011051 - ABC COMPANIES",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011051-abc-companies,TC,"Autobus rappelé par ABC COMPANIES",Accessoires,,Autobus,,2011-04-12,0
22922,"  Pour assurer la sécurité de votre animal de compagnie, suivez le mode d'emploi des produits contre les puces et les tiques ",https://recalls-rappels.canada.ca/fr/avis-rappel/pour-assurer-securite-votre-animal-compagnie-suivez-mode-emploi-produits-contre-puces,"Direction générale des communications et des affaires publiques",,"Sécurité des produits",,Autres,,2011-04-11,1
24316,"  Vivaglobin [Immunoglobuline sous-cutanée (humaine)] – Risque d'événements thromboemboliques (caillots sanguins) – Pour le public ",https://recalls-rappels.canada.ca/fr/avis-rappel/vivaglobin-immunoglobuline-sous-cutanee-humaine-risque-evenements-thromboemboliques,"Produits de santé commercialisés",,,,"Vaccins et produits biologiques",,2011-04-11,1
44282,"  Undeclared wheat in Bangle Hand Inc. Pakkoda ",https://recalls-rappels.canada.ca/en/alert-recall/undeclared-wheat-bangle-hand-inc-pakkoda,ACIA,,Blé,,Aliments,"Classe 1",2011-04-11,1
49591,"  Présence possible de la bactérie E. coli O157:H7 dans des noix de Grenoble crues écalées vendues dans certains magasins de détail à London (Ontario) et à Calgary (Alberta) ",https://recalls-rappels.canada.ca/fr/avis-rappel/presence-possible-bacterie-e-coli-o157h7-dans-noix-grenoble-crues-ecalees-vendues-1,ACIA,,"E. coli O157:H7",,Aliments,"Classe 1",2011-04-11,1
71468,"Numéro de rappel de Transports Canada - 2011050 - TIFFIN",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2011050-tiffin,TC,"Autocaravane rappelé par TIFFIN",Accessoires,,Autocaravane,,2011-04-11,0
71741,"Numéro de rappel de Transports Canada - 2010238 - BMW",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010238-bmw,TC,"Voiture rappelé par BMW","Alimentation en carburant",,Voiture,,2011-04-11,0
71811,"Numéro de rappel de Transports Canada - 2010167 - TOYOTA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2010167-toyota,TC,"Voiture rappelé par TOYOTA",Direction,,Voiture,,2011-04-11,0
21879,"  Divers lubrifiants et dégraissants en aérosol pour vélos, dont un produit « White Lightning » et plusieurs produits « Finish Line » ",https://recalls-rappels.canada.ca/fr/avis-rappel/divers-lubrifiants-et-degraissants-en-aerosol-pour-velos-dont-produit-white-lightning,"Sécurité des produits de consommation",,,,"Articles de sport et matériel de culture physique",,2011-04-08,1
21883,"  Suces « Go, Diego, Go! » et « Dora the Explorer » ",https://recalls-rappels.canada.ca/fr/avis-rappel/suces-go-diego-go-et-dora-explorer,"Sécurité des produits de consommation",,,,Autres,,2011-04-08,1
44264,"  Undeclared gluten in Haldiram's Nagpur brand Gulab Jamun Indian Sweets ",https://recalls-rappels.canada.ca/en/alert-recall/undeclared-gluten-haldiram-s-nagpur-brand-gulab-jamun-indian-sweets,ACIA,,Gluten,,Aliments,"Classe 2",2011-04-08,1
